,Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,220904838,2834.0970451828025,4085581,52.41593232989765,506194,4570946,58.64291913919128,64664,0.8296063272715688,8406,
United States of America,Americas,39795201,12022.62,992748,299.92,154459,643757,194.49,10181,3.08,2029,
India,South-East Asia,33027621,2393.3,289682,20.99,38948,440752,31.94,2542,0.18,219,
Brazil,Americas,20890779,9828.21,148964,70.08,12915,583628,274.57,4320,2.03,266,
Russian Federation,Europe,7030455,4817.54,129303,88.6,17856,187990,128.82,5561,3.81,790,
The United Kingdom,Europe,6978130,10279.19,246703,363.41,36515,133229,196.25,792,1.17,68,
France,Europe,6641804,10211.98,88478,136.04,10260,113153,173.98,597,0.92,49,
Turkey,Europe,6498054,7704.68,151173,179.24,19391,58106,68.9,1893,2.24,269,
Argentina,Americas,5203802,11513.91,30271,66.98,1397,112511,248.94,1128,2.5,67,
Iran (Islamic Republic of),Eastern Mediterranean,5156986,6139.78,196242,233.64,27579,111257,132.46,4106,4.89,583,
Colombia,Americas,4918649,9666.61,13391,26.32,1669,125278,246.21,467,0.92,48,
Spain,Europe,4871444,10291.94,18213,38.48,0,84640,178.82,178,0.38,0,
Italy,Europe,4571440,7664.87,41194,69.07,5314,129515,217.16,422,0.71,49,
Indonesia,South-East Asia,4133433,1511.18,54166,19.8,4413,136473,49.89,3982,1.46,612,
Germany,Europe,4010390,4822.11,73284,88.12,4749,92354,111.05,214,0.26,8,
Mexico,Americas,3428384,2659.05,92684,71.89,7504,263140,204.09,4975,3.86,272,
Poland,Europe,2890666,7615.41,2281,6.01,182,75379,198.58,39,0.1,0,
South Africa,Africa,2819945,4754.69,55014,92.76,5931,83419,140.65,1824,3.08,258,
Ukraine,Europe,2298307,5255.22,13367,30.56,773,54001,123.48,263,0.6,12,
Peru,Americas,2155034,6535.98,5807,17.61,902,198488,601.99,279,0.85,41,
Philippines,Western Pacific,2103331,1919.43,127301,116.17,22415,34337,31.33,1007,0.92,103,
Netherlands,Europe,1954233,11226.33,17771,102.09,2393,18037,103.62,41,0.24,2,
Iraq,Eastern Mediterranean,1922942,4780.76,41729,103.75,5650,21162,52.61,398,0.99,62,
Malaysia,Western Pacific,1862187,5753.53,136830,422.76,17352,18491,57.13,2109,6.52,272,
Czechia,Europe,1680697,15716.35,1753,16.39,138,30406,284.33,4,0.04,0,
Chile,Americas,1641526,8587.09,3196,16.72,435,37108,194.12,185,0.97,18,
Japan,Western Pacific,1580517,1249.65,111190,87.91,9145,16387,12.96,393,0.31,33,
Bangladesh,South-East Asia,1517166,921.23,19905,12.09,2710,26628,16.17,519,0.32,65,
Canada,Americas,1511212,4004.04,17691,46.87,0,27006,71.55,105,0.28,0,
Thailand,South-East Asia,1280534,1834.58,90471,129.61,0,13042,18.68,1643,2.35,187,
Belgium,Europe,1192008,10345.1,8659,75.15,0,25397,220.41,22,0.19,0,
Pakistan,Eastern Mediterranean,1182918,535.52,26637,12.06,3613,26232,11.88,562,0.25,57,
Sweden,Europe,1130525,10946.65,6212,60.15,0,14692,142.26,0,0.0,0,
Israel,Europe,1117596,12911.91,62911,726.83,3887,7205,83.24,182,2.1,11,
Romania,Europe,1107043,5727.42,9591,49.62,1035,34714,179.6,175,0.91,25,
Portugal,Europe,1047047,10169.54,12100,117.52,1190,17798,172.86,77,0.75,13,
Kazakhstan,Europe,888188,4730.27,28985,154.37,0,14423,76.81,691,3.68,0,
Morocco,Eastern Mediterranean,886008,2400.42,29959,81.17,4966,13145,35.61,605,1.64,152,
Hungary,Europe,813688,8328.84,1461,14.95,648,30070,307.79,13,0.13,9,
Jordan,Eastern Mediterranean,802349,7863.75,6090,59.69,2109,10477,102.68,79,0.77,14,
Switzerland,Europe,785400,9074.92,11062,127.82,0,10464,120.91,20,0.23,0,
Serbia,Europe,779723,11256.77,22106,319.14,2800,7379,106.53,113,1.63,21,
Nepal,South-East Asia,770759,2645.31,9635,33.07,1488,10858,37.27,128,0.44,20,
United Arab Emirates,Eastern Mediterranean,724240,7322.65,6866,69.42,977,2048,20.71,9,0.09,2,
Cuba,Americas,696904,6152.8,50391,444.89,7230,5788,51.1,569,5.02,85,
Austria,Europe,692567,7780.72,11158,125.36,1729,10589,118.96,23,0.26,5,
Tunisia,Eastern Mediterranean,675191,5712.94,11157,94.4,0,23846,201.77,395,3.34,0,
Lebanon,Eastern Mediterranean,608041,8908.44,6815,99.85,1505,8114,118.88,66,0.97,25,
Greece,Europe,599951,5597.31,17979,167.74,1284,13886,129.55,229,2.14,43,
Georgia,Europe,565957,14187.32,20924,524.52,1120,7867,197.21,538,13.49,61,
Saudi Arabia,Eastern Mediterranean,545367,1566.52,1142,3.28,124,8585,24.66,46,0.13,6,
Viet Nam,Western Pacific,536788,551.46,87299,89.69,12481,13385,13.75,2321,2.38,311,
Ecuador,Americas,503767,2855.33,2566,14.54,0,32351,183.36,107,0.61,0,
Bolivia (Plurinational State of),Americas,492680,4220.67,2624,22.48,171,18512,158.59,101,0.87,5,
Belarus,Europe,490926,5195.36,11620,122.97,1963,3837,40.61,80,0.85,11,
Guatemala,Americas,487898,2723.32,22099,123.35,1079,12265,68.46,379,2.12,62,
Costa Rica,Americas,476709,9358.03,17018,334.07,4394,5618,110.28,147,2.89,50,
Sri Lanka,South-East Asia,465949,2175.98,29868,139.48,3182,10320,48.19,1329,6.21,180,
Bulgaria,Europe,462033,6646.54,10434,150.1,488,19115,274.98,384,5.52,32,
Panama,Americas,459844,10657.45,3178,73.65,325,7086,164.23,40,0.93,5,
Paraguay,Americas,458884,6433.67,480,6.73,40,15995,224.25,272,3.81,6,
Azerbaijan,Europe,442872,4367.93,24876,245.35,3310,5842,57.62,289,2.85,42,
Myanmar,South-East Asia,417971,768.19,22088,40.6,2555,15985,29.38,698,1.28,94,
Kuwait,Eastern Mediterranean,410413,9610.26,677,15.85,143,2425,56.78,7,0.16,2,
Slovakia,Europe,396181,7258.89,1390,25.47,101,12551,229.96,3,0.05,2,
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,385887,7564.31,16771,328.75,2742,4012,78.64,69,1.35,17,
Uruguay,Americas,385660,11102.19,968,27.87,103,6034,173.7,5,0.14,0,
Croatia,Europe,378022,9315.1,4692,115.62,184,8375,206.37,44,1.08,5,
Ireland,Europe,356819,7187.5,10287,207.21,1180,5112,102.97,20,0.4,0,
Dominican Republic,Americas,351894,3243.89,1877,17.3,156,4012,36.98,5,0.05,0,
Denmark,Europe,348979,5993.36,4891,84.0,632,2590,44.48,10,0.17,0,
Honduras,Americas,343807,3471.18,8409,84.9,0,9023,91.1,191,1.93,0,
Venezuela (Bolivarian Republic of),Americas,340187,1196.33,7062,24.83,932,4098,14.41,100,0.35,12,
Libya,Eastern Mediterranean,316797,4610.44,9326,135.72,1379,4343,63.2,130,1.89,20,
Ethiopia,Africa,314984,273.99,8867,7.71,1516,4763,4.14,119,0.1,32,
Lithuania,Europe,302979,10843.57,4814,172.29,355,4612,165.06,65,2.33,5,
Oman,Eastern Mediterranean,302748,5928.53,509,9.97,80,4078,79.86,15,0.29,3,
Egypt,Eastern Mediterranean,290395,283.77,2233,2.18,368,16801,16.42,74,0.07,12,
Bahrain,Eastern Mediterranean,273113,16050.6,660,38.79,105,1388,81.57,0,0.0,0,
Slovenia,Europe,270307,12897.18,3789,180.78,317,4781,228.12,1,0.05,0,
Republic of Moldova,Europe,270219,6698.6,3231,80.09,233,6435,159.52,41,1.02,9,
Republic of Korea,Western Pacific,263374,513.71,11954,23.32,1597,2330,4.54,45,0.09,3,
Armenia,Europe,245264,8276.9,3653,123.28,239,4924,166.17,94,3.17,13,
Kenya,Africa,240172,446.65,5220,9.71,480,4786,8.9,76,0.14,29,
Mongolia,Western Pacific,236274,7207.23,24999,762.56,3766,968,29.53,37,1.13,11,
Qatar,Eastern Mediterranean,233756,8113.56,1185,41.13,189,603,20.93,1,0.03,1,
Bosnia and Herzegovina,Europe,217148,6618.72,3942,120.15,333,9885,301.3,98,2.99,12,
Zambia,Africa,207114,1126.6,1063,5.78,86,3616,19.67,20,0.11,5,
Algeria,Africa,197659,450.75,2497,5.69,0,5399,12.31,190,0.43,26,
Nigeria,Africa,193644,93.94,2299,1.12,0,2488,1.21,34,0.02,0,
North Macedonia,Europe,180045,8641.97,4715,226.31,458,6065,291.11,196,9.41,20,
Kyrgyzstan,Europe,176582,2706.57,993,15.22,109,2554,39.15,30,0.46,4,
Puerto Rico,Americas,174390,6095.73,4173,145.87,407,2923,102.17,91,3.18,4,
Norway,Europe,163363,3043.51,6329,117.91,0,822,15.31,8,0.15,0,
Uzbekistan,Europe,160511,479.58,4872,14.56,640,1120,3.35,45,0.13,8,
Botswana,Africa,159317,6774.76,5524,234.9,0,2276,96.78,63,2.68,0,
Afghanistan,Eastern Mediterranean,153626,394.64,406,1.04,92,7144,18.35,26,0.07,3,
Kosovo[1],Europe,151236,8422.28,8547,475.98,0,2595,144.51,147,8.19,0,
Albania,Europe,150997,5246.96,6150,213.7,896,2515,87.39,23,0.8,3,
Mozambique,Africa,147785,472.83,1922,6.15,0,1872,5.99,21,0.07,0,
Latvia,Europe,144518,7575.61,2118,111.03,358,2585,135.51,12,0.63,1,
Estonia,Europe,144001,10835.49,2402,180.74,213,1302,97.97,11,0.83,1,
Finland,Europe,130510,2362.05,3945,71.4,408,1030,18.64,6,0.11,0,
Zimbabwe,Africa,125530,844.58,1093,7.35,105,4466,30.05,65,0.44,9,
Namibia,Africa,125494,4938.95,778,30.62,0,3407,134.09,163,6.42,163,
China,Western Pacific,123285,8.38,242,0.02,54,5685,0.39,3,0.0,0,
Ghana,Africa,120452,387.64,2816,9.06,0,1052,3.39,44,0.14,0,
Montenegro,Europe,118101,18804.04,3726,593.25,464,1753,279.11,41,6.53,5,
Cyprus,Europe,115046,12955.56,1769,199.21,147,515,58.0,16,1.8,2,
Uganda,Africa,99701,217.97,476,1.04,0,3031,6.63,40,0.09,0,
El Salvador,Americas,96067,1481.1,2007,30.94,0,2969,45.77,60,0.93,8,
Cambodia,Western Pacific,95828,573.17,3212,19.21,528,1970,11.78,78,0.47,13,
Rwanda,Africa,88682,684.69,2069,15.97,0,1105,8.53,26,0.2,0,
Cameroon,Africa,84210,317.22,785,2.96,0,1357,5.11,7,0.03,0,
Maldives,South-East Asia,82099,15188.22,1139,210.71,120,227,41.99,1,0.18,1,
Luxembourg,Europe,76102,12154.77,438,69.96,0,830,132.56,0,0.0,0,
Senegal,Africa,73188,437.1,479,2.86,84,1803,10.77,54,0.32,18,
Jamaica,Americas,71987,2431.03,4585,154.84,643,1637,55.28,127,4.29,18,
Singapore,Western Pacific,68901,1177.73,1442,24.65,241,55,0.94,0,0.0,0,
Australia,Western Pacific,63154,247.66,10560,41.41,1548,1044,4.09,42,0.16,5,
Malawi,Africa,60821,317.94,476,2.49,83,2195,11.47,34,0.18,0,
Côte d’Ivoire,Africa,56855,215.54,1747,6.62,120,467,1.77,37,0.14,12,
Democratic Republic of the Congo,Africa,55877,62.39,1014,1.13,570,1061,1.18,2,0.0,0,
Réunion,Africa,50346,5623.29,1663,185.75,0,342,38.2,10,1.12,0,
Angola,Africa,48475,147.49,1307,3.98,0,1258,3.83,57,0.17,10,
Fiji,Western Pacific,47993,5353.7,1782,198.79,128,520,58.01,31,3.46,12,
Trinidad and Tobago,Americas,45714,3266.48,1233,88.1,227,1330,95.03,52,3.72,5,
Guadeloupe,Americas,45471,11364.23,78,19.49,0,506,126.46,-2,-0.5,0,
Eswatini,Africa,44176,3807.74,1348,116.19,42,1145,98.69,64,5.52,13,
Madagascar,Africa,42873,154.83,11,0.04,0,956,3.45,1,0.0,0,
French Polynesia,Western Pacific,42109,14990.32,1931,687.41,0,513,182.62,90,32.04,33,
Martinique,Americas,38616,10290.33,1424,379.47,418,499,132.97,39,10.39,12,
Sudan,Eastern Mediterranean,37875,86.38,166,0.38,2,2791,6.36,0,0.0,0,
Malta,Europe,36475,7088.53,386,75.01,49,444,86.29,4,0.78,2,
French Guiana,Americas,36035,12064.67,1260,421.85,314,223,74.66,6,2.01,2,
Cabo Verde,Africa,35624,6407.34,397,71.4,0,314,56.48,5,0.9,0,
Mauritania,Africa,34204,735.62,895,19.25,93,733,15.76,28,0.6,3,
Suriname,Americas,30855,5259.69,2015,343.49,320,738,125.8,23,3.92,3,
Guinea,Africa,29605,225.43,396,3.02,0,341,2.6,15,0.11,0,
Syrian Arab Republic,Eastern Mediterranean,28678,163.87,899,5.14,255,2044,11.68,37,0.21,11,
Guyana,Americas,26510,3370.41,1187,150.91,215,641,81.49,30,3.81,1,
Gabon,Africa,25888,1163.12,69,3.1,0,165,7.41,0,0.0,0,
Togo,Africa,21980,265.5,799,9.65,0,190,2.3,10,0.12,0,
Haiti,Americas,21094,184.99,153,1.34,25,588,5.16,2,0.02,0,
Seychelles,Africa,20230,20570.02,238,242.0,0,103,104.73,1,1.02,0,
Mayotte,Africa,19925,7303.48,145,53.15,50,175,64.15,0,0.0,0,
Bahamas,Americas,18853,4794.22,714,181.57,87,439,111.64,58,14.75,15,
Papua New Guinea,Western Pacific,18276,204.27,185,2.07,11,194,2.17,2,0.02,2,
Somalia,Eastern Mediterranean,17947,112.92,548,3.45,221,1005,6.32,36,0.23,8,
Timor-Leste,South-East Asia,17698,1342.34,1183,89.73,80,82,6.22,18,1.37,2,
Tajikistan,Europe,17384,182.27,167,1.75,0,125,1.31,0,0.0,0,
Belize,Americas,16750,4212.48,738,185.6,0,363,91.29,7,1.76,0,
Lao People's Democratic Republic,Western Pacific,16058,220.71,1242,17.07,125,16,0.22,2,0.03,0,
Benin,Africa,15932,131.42,2566,21.17,0,131,1.08,3,0.02,0,
Curaçao,Americas,15470,9427.58,222,135.29,91,149,90.8,6,3.66,2,
Andorra,Europe,15055,19484.89,30,38.83,0,130,168.25,0,0.0,0,
Mali,Africa,14910,73.63,52,0.26,0,539,2.66,0,0.0,0,
Aruba,Americas,14842,13901.43,377,353.11,123,150,140.49,13,12.18,2,
Lesotho,Africa,14395,671.96,0,0.0,0,403,18.81,0,0.0,0,
Burkina Faso,Africa,13841,66.21,79,0.38,14,171,0.82,0,0.0,0,
Congo,Africa,13588,246.24,0,0.0,0,183,3.32,0,0.0,0,
Burundi,Africa,13070,109.92,680,5.72,0,10,0.08,0,0.0,0,
Mauritius,Africa,12036,946.4,1840,144.68,292,32,2.52,3,0.24,0,
Djibouti,Eastern Mediterranean,11785,1192.81,38,3.85,8,157,15.89,0,0.0,0,
South Sudan,Africa,11526,102.97,99,0.88,9,120,1.07,0,0.0,0,
Central African Republic,Africa,11296,233.88,26,0.54,0,100,2.07,1,0.02,0,
Iceland,Europe,11032,3029.65,374,102.71,0,33,9.06,1,0.27,0,
Guam,Western Pacific,10566,6260.41,606,359.06,0,151,89.47,6,3.56,0,
Gambia,Africa,9736,402.87,110,4.55,0,323,13.37,9,0.37,0,
Equatorial Guinea,Africa,9477,675.49,151,10.76,0,126,8.98,2,0.14,0,
Jersey,Europe,9408,8727.6,159,147.5,0,77,71.43,0,0.0,0,
Nicaragua,Americas,9283,140.13,416,6.28,0,200,3.02,1,0.02,0,
Saint Lucia,Americas,9149,4982.38,1038,565.28,124,116,63.17,13,7.08,0,
Yemen,Eastern Mediterranean,8142,27.3,313,1.05,86,1530,5.13,61,0.2,11,
Isle of Man,Europe,6809,8007.57,222,261.08,30,29,34.1,0,0.0,0,
Eritrea,Africa,6648,187.46,8,0.23,1,38,1.07,1,0.03,0,
Sierra Leone,Africa,6374,79.9,7,0.09,2,121,1.52,0,0.0,0,
United States Virgin Islands,Americas,6026,5770.65,178,170.46,0,60,57.46,7,6.7,0,
Guinea-Bissau,Africa,5890,299.29,124,6.3,0,121,6.15,4,0.2,1,
Niger,Africa,5882,24.3,49,0.2,8,199,0.82,1,0.0,0,
Liberia,Africa,5727,113.23,133,2.63,0,245,4.84,0,0.0,0,
Gibraltar,Europe,5388,15992.4,50,148.41,2,97,287.91,0,0.0,0,
Barbados,Americas,5349,1861.33,418,145.45,101,51,17.75,3,1.04,0,
San Marino,Europe,5345,15749.31,24,70.72,0,90,265.19,0,0.0,0,
Chad,Africa,4998,30.43,5,0.03,1,174,1.06,0,0.0,0,
Comoros,Africa,4072,468.26,10,1.15,0,147,16.9,0,0.0,0,
Sint Maarten,Americas,3824,8917.49,183,426.75,49,57,132.92,8,18.66,1,
Brunei Darussalam,Western Pacific,3464,791.81,823,188.12,135,13,2.97,5,1.14,1,
New Zealand,Western Pacific,3457,71.69,245,5.08,22,27,0.56,1,0.02,0,
Liechtenstein,Europe,3419,8823.91,34,87.75,0,58,149.69,0,0.0,0,
Saint Martin,Americas,3363,8699.14,7,18.11,0,20,51.73,3,7.76,0,
Monaco,Europe,3234,8240.75,51,129.96,2,35,89.19,0,0.0,0,
Bermuda,Americas,3048,4894.58,204,327.59,0,34,54.6,1,1.61,0,
Turks and Caicos Islands,Americas,2697,6965.75,47,121.39,0,20,51.66,0,0.0,0,
British Virgin Islands,Americas,2640,8731.02,72,238.12,0,37,122.37,0,0.0,0,
Sao Tome and Principe,Africa,2634,1201.87,44,20.08,0,37,16.88,0,0.0,0,
Bhutan,South-East Asia,2596,336.44,1,0.13,0,3,0.39,0,0.0,0,
Saint Vincent and the Grenadines,Americas,2379,2144.4,48,43.27,8,12,10.82,0,0.0,0,
Dominica,Americas,1998,2775.35,360,500.06,166,5,6.95,1,1.39,1,
Antigua and Barbuda,Americas,1870,1909.55,157,160.32,0,46,46.97,2,2.04,0,
Bonaire,Americas,1802,8615.83,49,234.28,36,17,81.28,0,0.0,0,
Saint Barthélemy,Americas,1593,16115.33,1,10.12,0,1,10.12,0,0.0,0,
United Republic of Tanzania,Africa,1367,2.29,0,0.0,0,50,0.08,0,0.0,0,
Guernsey,Europe,1330,2063.04,93,144.26,0,18,27.92,0,0.0,0,
Grenada,Americas,1238,1100.22,881,782.95,0,12,10.66,11,9.78,7,
Saint Kitts and Nevis,Americas,1230,2312.38,177,332.76,0,5,9.4,2,3.76,0,
Faroe Islands,Europe,1015,2077.15,15,30.7,9,2,4.09,0,0.0,0,
Other,Other,764,,0,,0,13,,0,,0,
Cayman Islands,Americas,691,1051.43,11,16.74,0,2,3.04,0,0.0,0,
Wallis and Futuna,Western Pacific,454,4036.99,0,0.0,0,7,62.24,0,0.0,0,
Greenland,Europe,353,621.79,20,35.23,4,0,0.0,0,0.0,0,
Anguilla,Americas,296,1973.07,79,526.6,17,0,0.0,0,0.0,0,
Northern Mariana Islands (Commonwealth of the),Western Pacific,248,430.88,6,10.42,0,2,3.47,0,0.0,0,
New Caledonia,Western Pacific,136,47.64,0,0.0,0,0,0.0,0,0.0,0,
Falkland Islands (Malvinas),Americas,64,1837.5,0,0.0,0,0,0.0,0,0.0,0,
Montserrat,Americas,31,620.12,2,40.01,0,1,20.0,0,0.0,0,
Saint Pierre and Miquelon,Americas,31,534.94,1,17.26,0,0,0.0,0,0.0,0,
Holy See,Europe,26,3213.84,0,0.0,0,0,0.0,0,0.0,0,
Sint Eustatius,Americas,24,764.57,0,0.0,0,0,0.0,0,0.0,0,
Solomon Islands,Western Pacific,20,2.91,0,0.0,0,0,0.0,0,0.0,0,
Saba,Americas,11,569.06,1,51.73,0,0,0.0,0,0.0,0,
Marshall Islands,Western Pacific,4,6.76,0,0.0,0,0,0.0,0,0.0,0,
Vanuatu,Western Pacific,3,0.98,0,0.0,0,0,0.0,0,0.0,0,
Palau,Western Pacific,2,11.05,0,0.0,0,0,0.0,0,0.0,0,
Samoa,Western Pacific,1,0.5,0,0.0,0,0,0.0,0,0.0,0,
American Samoa,Western Pacific,0,0.0,0,0.0,0,0,0.0,0,0.0,0,
Cook Islands,Western Pacific,0,0.0,0,0.0,0,0,0.0,0,0.0,0,
Democratic People's Republic of Korea,South-East Asia,0,0.0,0,0.0,0,0,0.0,0,0.0,0,
Kiribati,Western Pacific,0,0.0,0,0.0,0,0,0.0,0,0.0,0,
Micronesia (Federated States of),Western Pacific,0,0.0,0,0.0,0,0,0.0,0,0.0,0,
Nauru,Western Pacific,0,0.0,0,0.0,0,0,0.0,0,0.0,0,
Niue,Western Pacific,0,0.0,0,0.0,0,0,0.0,0,0.0,0,
Pitcairn Islands,Western Pacific,0,0.0,0,0.0,0,0,0.0,0,0.0,0,
Saint Helena,Africa,0,0.0,0,0.0,0,0,0.0,0,0.0,0,
Tokelau,Western Pacific,0,0.0,0,0.0,0,0,0.0,0,0.0,0,
Tonga,Western Pacific,0,0.0,0,0.0,0,0,0.0,0,0.0,0,
Turkmenistan,Europe,0,0.0,0,0.0,0,0,0.0,0,0.0,0,
Tuvalu,Western Pacific,0,0.0,0,0.0,0,0,0.0,0,0.0,0,
